iter	Passed	Remaining
412	2262	3215
413	2265	3206
414	2268	3197
415	2271	3188
416	2275	3181
417	2280	3174
418	2288	3173
419	2294	3168
420	2299	3162
421	2302	3153
422	2305	3145
423	2309	3137
424	2313	3130
425	2316	3121
426	2319	3113
427	2323	3105
428	2327	3097
429	2330	3088
430	2334	3081
431	2336	3072
432	2339	3064
433	2343	3056
434	2346	3047
435	2350	3040
436	2353	3031
437	2356	3024
438	2359	3015
439	2363	3008
440	2366	2999
441	2369	2991
442	2373	2983
443	2377	2976
444	2380	2969
445	2385	2963
446	2388	2955
447	2391	2947
448	2395	2939
449	2398	2932
450	2402	2924
451	2405	2916
452	2408	2908
453	2412	2901
454	2416	2894
455	2420	2887
456	2423	2879
457	2427	2872
458	2430	2864
459	2433	2856
460	2436	2849
461	2440	2841
462	2443	2833
463	2446	2826
464	2449	2818
465	2451	2809
466	2455	2802
467	2458	2794
468	2461	2787
469	2465	2780
470	2468	2772
471	2473	2766
472	2476	2758
473	2479	2751
474	2482	2743
475	2486	2736
476	2489	2729
477	2492	2722
478	2495	2714
479	2499	2707
480	2502	2699
481	2505	2692
482	2508	2685
483	2512	2678
484	2516	2671
485	2519	2664
486	2522	2657
487	2525	2650
488	2529	2643
489	2532	2636
490	2536	2629
491	2540	2622
492	2543	2615
493	2546	2608
494	2550	2601
495	2553	2594
496	2557	2587
497	2560	2581
498	2563	2573
499	2567	2567
500	2570	2560
501	2573	2553
502	2577	2546
503	2580	2539
504	2584	2533
505	2588	2526
506	2591	2519
507	2594	2512
508	2599	2507
509	2602	2500
510	2605	2493
511	2609	2486
512	2612	2480
513	2615	2473
514	2619	2466
515	2622	2459
516	2625	2453
517	2629	2446
518	2632	2439
519	2635	2433
520	2638	2426
521	2642	2419
522	2645	2413
523	2648	2406
524	2652	2399
525	2655	2393
526	2658	2386
527	2662	2379
528	2665	2373
529	2669	2367
530	2672	2360
531	2676	2354
532	2683	2351
533	2688	2345
534	2697	2344
535	2707	2344
536	2716	2342
537	2722	2337
538	2726	2331
539	2734	2329
540	2741	2325
541	2752	2325
542	2760	2323
543	2769	2321
544	2778	2319
545	2788	2318
546	2798	2317
547	2808	2316
548	2812	2310
549	2818	2305
550	2822	2300
551	2833	2300
552	2842	2297
553	2850	2294
554	2857	2291
555	2867	2289
556	2871	2283
557	2877	2279
558	2882	2274
559	2887	2268
560	2892	2263
561	2898	2258
562	2902	2253
563	2907	2247
564	2911	2241
565	2916	2235
566	2921	2230
567	2925	2224
568	2931	2220
569	2938	2217
570	2946	2213
571	2950	2207
572	2958	2204
573	2970	2204
574	2976	2199
575	2980	2194
576	2988	2190
577	2997	2188
578	3006	2186
579	3015	2183
580	3027	2183
581	3035	2180
582	3044	2177
583	3056	2177
584	3066	2175
585	3078	2174
586	3085	2171
587	3092	2167
588	3104	2166
589	3114	2164
590	3122	2161
591	3128	2156
592	3141	2155
593	3152	2154
594	3164	2153
595	3175	2152
596	3187	2151
597	3195	2148
598	3204	2144
599	3211	2141
600	3214	2134
601	3217	2127
602	3220	2120
603	3224	2114
604	3227	2107
605	3231	2100
606	3234	2094
607	3238	2087
608	3241	2081
609	3244	2074
610	3248	2068
611	3251	2061
612	3254	2054
613	3258	2048
614	3261	2041
615	3265	2035
616	3276	2033
617	3283	2029
618	3288	2024
619	3292	2018
620	3296	2011
621	3300	2005
622	3303	1999
623	3307	1993
624	3310	1986
625	3314	1980
626	3317	1973
627	3321	1967
628	3324	1960
629	3327	1954
630	3330	1947
631	3335	1942
632	3338	1935
633	3341	1929
634	3345	1922
635	3348	1916
636	3351	1909
637	3354	1903
638	3357	1897
639	3361	1890
640	3365	1884
641	3369	1878
642	3372	1872
643	3375	1866
644	3378	1859
645	3381	1853
646	3384	1846
647	3388	1840
648	3391	1834
649	3394	1827
650	3397	1821
651	3401	1815
652	3403	1808
653	3407	1802
654	3410	1796
655	3413	1790
656	3416	1783
657	3419	1777
658	3422	1771
659	3426	1764
660	3429	1759
661	3433	1752
662	3436	1746
663	3439	1740
664	3442	1734
665	3446	1728
666	3449	1721
667	3452	1715
668	3455	1709
669	3458	1703
670	3461	1697
671	3464	1691
672	3467	1684
673	3471	1679
674	3474	1672
675	3477	1666
676	3481	1660
677	3484	1654
678	3487	1648
679	3490	1642
680	3493	1636
681	3497	1630
682	3500	1624
683	3504	1618
684	3507	1612
685	3510	1606
686	3514	1601
687	3518	1595
688	3521	1589
689	3524	1583
690	3528	1577
691	3532	1572
692	3535	1566
693	3538	1560
694	3542	1554
695	3545	1548
696	3548	1542
697	3552	1536
698	3554	1530
699	3558	1525
700	3561	1518
701	3564	1513
702	3567	1507
703	3570	1501
704	3573	1495
705	3577	1489
706	3580	1484
707	3584	1478
708	3587	1472
709	3590	1466
710	3594	1460
711	3599	1456
712	3602	1450
713	3606	1444
714	3609	1438
715	3612	1432
716	3615	1427
717	3619	1421
718	3622	1415
719	3626	1410
720	3629	1404
721	3632	1398
722	3635	1393
723	3639	1387
724	3642	1381
725	3645	1375
726	3649	1370
727	3652	1364
728	3656	1359
729	3659	1353
730	3663	1347
731	3667	1342
732	3669	1336
733	3672	1331
734	3676	1325
735	3679	1319
736	3682	1314
737	3685	1308
738	3689	1302
739	3692	1297
740	3695	1291
741	3698	1286
742	3702	1280
743	3705	1274
744	3708	1269
745	3712	1263
746	3715	1258
747	3719	1253
748	3723	1247
749	3728	1242
750	3733	1237
751	3744	1234
752	3757	1232
753	3764	1228
754	3769	1223
755	3772	1217
756	3776	1212
757	3781	1207
758	3785	1201
759	3788	1196
760	3792	1191
761	3796	1185
762	3800	1180
763	3805	1175
764	3809	1170
765	3813	1165
766	3818	1159
767	3821	1154
768	3826	1149
769	3831	1144
770	3834	1139
771	3838	1133
772	3842	1128
773	3847	1123
774	3851	1118
775	3855	1112
776	3860	1107
777	3864	1102
778	3867	1097
779	3874	1092
780	3882	1088
781	3892	1085
782	3900	1081
783	3909	1077
784	3918	1073
785	3928	1069
786	3937	1065
787	3946	1061
788	3955	1057
789	3964	1053
790	3975	1050
791	3987	1047
792	3998	1043
793	4014	1041
794	4024	1037
795	4038	1035
796	4049	1031
797	4067	1029
798	4076	1025
799	4085	1021
800	4094	1017
801	4104	1013
802	4113	1009
803	4122	1005
804	4131	1000
805	4139	996
806	4150	992
807	4158	988
808	4165	983
809	4175	979
810	4185	975
811	4194	971
812	4204	967
813	4213	962
814	4222	958
815	4250	958
816	4262	954
817	4273	950
818	4284	946
819	4295	942
820	4305	938
821	4315	934
822	4324	930
823	4331	925
824	4341	920
825	4351	916
826	4364	912
827	4370	907
828	4380	903
829	4389	899
830	4396	894
831	4406	889
832	4411	884
833	4420	879
834	4430	875
835	4442	871
836	4449	866
837	4458	861
838	4468	857
839	4479	853
840	4488	848
841	4496	843
842	4503	838
843	4513	834
844	4522	829
845	4532	825
846	4543	820
847	4550	815
848	4561	811
849	4571	806
850	4581	802
851	4592	797
852	4602	793
853	4613	788
854	4622	783
855	4632	779
856	4642	774
857	4652	770
858	4662	765
859	4672	760
860	4680	755
861	4690	750
862	4700	746
863	4716	742
864	4734	738
865	4743	733
