iter	Logloss
0	0.633489891
1	0.5844224369
2	0.5359732353
3	0.4949082641
4	0.4549950148
5	0.4084909771
6	0.3673475258
7	0.3365309825
8	0.3075802648
9	0.278215248
10	0.2534349538
11	0.2349589009
12	0.2158070227
13	0.1976888503
14	0.1770986735
15	0.1631170408
16	0.149141371
17	0.1365679706
18	0.1248941762
19	0.1166978012
20	0.1075268321
21	0.09917063388
22	0.09170525271
23	0.08434386801
24	0.07738237072
25	0.07067847869
26	0.06547758979
27	0.05987928819
28	0.05562918982
29	0.05150145025
30	0.04771438291
31	0.04419174567
32	0.04144895249
33	0.03841330164
34	0.03554701774
35	0.03314739738
36	0.03067298124
37	0.02888950871
38	0.02693777526
39	0.02539477192
40	0.02362351197
41	0.02226073058
42	0.02081481564
43	0.0194707221
44	0.01829226682
45	0.01699927264
46	0.016085044
47	0.01527407017
48	0.01440084605
49	0.01339871757
50	0.0126943638
51	0.01201562073
52	0.01159170398
53	0.01097817881
54	0.01046662207
55	0.01003822201
56	0.009615159753
57	0.009158969285
58	0.008738655455
59	0.008332662687
60	0.00805129719
61	0.007614018366
62	0.007265541964
63	0.006872612564
64	0.006513305201
65	0.006177284128
66	0.005943901032
67	0.005704765837
68	0.005446679233
69	0.00523195763
70	0.005108002669
71	0.004895271181
72	0.004700982476
73	0.004593739121
74	0.00439875591
75	0.004241386526
76	0.004125019805
77	0.003997923385
78	0.003867692903
79	0.003722766826
80	0.003575483729
81	0.003474145754
82	0.003366201882
83	0.00326226737
84	0.003166853734
85	0.003108169839
86	0.003013623179
87	0.002924074464
88	0.002853081124
89	0.00277573828
90	0.002726620255
91	0.002657680377
92	0.002601098958
93	0.002506991565
94	0.002449925564
95	0.002406424853
96	0.002329967018
97	0.002268238534
98	0.00222299624
99	0.002169150536
100	0.002129582429
101	0.002064098434
102	0.002025253501
103	0.001978817324
104	0.001939661435
105	0.00191336165
106	0.001872121897
107	0.00184685104
108	0.001807233111
109	0.001770410892
110	0.001737402097
111	0.001709225366
112	0.001679783427
113	0.001644263984
114	0.001628056035
115	0.001601835433
116	0.001584684098
117	0.001542187345
118	0.001521801957
119	0.001508141647
120	0.00148125752
121	0.001450436048
122	0.001425039652
123	0.001398788418
124	0.001376424358
125	0.001355447808
126	0.001332847584
127	0.001309039258
128	0.001290263209
129	0.001269184587
130	0.001252544189
131	0.001231464527
132	0.001213764569
133	0.001196207951
134	0.001176496377
135	0.001163766621
136	0.001154675507
137	0.001132235269
138	0.001121578165
139	0.001102884768
140	0.001088438168
141	0.001072009544
142	0.001060229416
143	0.001046704238
144	0.001035980897
145	0.001022235854
146	0.001014581147
147	0.001000473823
148	0.0009915756403
149	0.0009802774358
150	0.0009639108876
151	0.0009560660233
152	0.0009431751254
153	0.0009368257375
154	0.0009244919586
155	0.0009129664329
156	0.0009004986773
157	0.0008926083834
